id;topic;emoji;title;text
0;Strategic Thinking;🧠;Strategy needs to constantly evolve.;Question assumptions - Why you do this?<br>Observe what is happening.<br>Reflect.
1;Strategic Thinking;🤔;Strategy is all about <br>the big-picture choices.;Be clear about what you are going to (not) do.<br>Define concrete activities to fulfil your goals.<br>Craft and adhere to schedule.
2;Strategic Thinking;📆;How to build time<br>for strategic thinking?;Turn down the noise (e.g. music or TV).<br>Sit with your thoughts.<br>Ask the big questions.<br>Schedule for an hour a week.
3;Strategic Thinking;💡;Gain diverse inspiration.;Consider all the present the future and the past.<br>Identify industry leaders and follow their content.<br>Monitor trends - Read widely and often.
4;Strategic Thinking;⭐️;How to create an informed strategy?;Good strategy doesn't have to be innovative.<br>Look at the past successes (including competition).<br>Consider upcoming trends in the industry.<br>Solicit input from diverse sources.
5;Strategic Thinking;🔨;How to turn strategy into reality?;Map all available assets and allies.<br>Make use of key relationships.<br>Identify main constraints and obstacles.<br>Create specific goals and related steps.
6;Strategic Thinking;🧅;Roll out your strategy continually.;Don't reveal it all at a single meeting.<br>Have premeetings with key people.<br>Identify objections and prepare arguments.<br>Create key action points.
7;Strategic Thinking;📊;Measure your success.;Clarify major goals and metrics.<br>Evaluate the progress on a regular basis.<br>Identify tracking methods in advance.<br>Document the process and study mistakes.
8;Strategic Thinking;♻️;Executing strategy is<br>an ongoing process.;Follow the strategy unless it has critical flaws.<br>Is there a major change in circumstances?<br>Is there a more promising alternative?<br>Are the expectations failing?
9;Effective Teamwork;🤝;Put your team first and build trust.;Prioritise team goals over your own.<br>Reveal any individual benefits from the team's work.<br>Express appreciation of others' work.
10;Effective Teamwork;☑️;Underpromise and overdeliver.;Acknowledge existing constraints.<br>Keep your commitments.<br>Deliver valuable results.<br>Communicate updates regularly.
11;Effective Teamwork;👍;Demonstrate positivity<br>in any situation.;Highlight teammates' strengths.<br>Refrain from gossiping.<br>Avoid complaining.
12;Effective Teamwork;🎖;Be respectful to colleagues.;People remember how you make them feel.<br>Avoid making things personal.<br>Respect set boundaries.<br>Don't waste their time.
13;Effective Teamwork;🚀;Ideal teammate is proactive.;Plan ahead and anticipate the roadblocks.<br>Think in a context of the whole organisation.<br>Help to get back on track.
14;Effective Teamwork;👥;Stay collaborative regardless<br>of your opinion.;Encourage participation of others.<br>Support team decisions.<br>Share your ideas.
15;Effective Teamwork;🎀;Build your professional reputation.;Continuously develop your skills.<br>Fulfill deadlines and maintain high quality.<br>Speak and dress to represent the team positively.
16;Effective Teamwork;🙌;Be an awesome team player.;Balance work and building relationships.<br>Value the people more than the outcomes.<br>Encourage learning from mistakes.<br>Be flexible.
17;Improving Judgement;🎓;Avoid judgement based<br>on minimal information.;Use data to analyse the situation.<br>Consider various perspectives and motivations.<br>Embrace your instincts and feelings.<br>Integrate it all.
18;Improving Judgement;⚖️;Data + Information + Analysis<br>= Best judgement;Find confirming and disconfirming data.<br>Look at the forest and also at a single tree.<br>What may be the best and worst possible outcome?
19;Improving Judgement;🔎;Judge trustworthiness not likeability.;Has the person ever cheated or lied?<br>Does the person meet the expectations?<br>Does the person do their commitments?
20;Improving Judgement;🧘‍♀️;Good judgement requires clean head.;Smiling reduces body stress response.<br>Write bullet point notes by hand.<br>Let others know you need to slow down.
21;Improving Judgement;❓;Judge your arguments<br>with these questions.;Did I highlight a common ground?<br>Did I make my main claim clear?<br>Did I provide sufficient evidence?<br>Did I omit personal attacks?
22;Improving Judgement;🔮;How to judge the future?;Avoid saying "I knew it all along".<br>Pick three industry leaders.<br>Create a question wishlist.<br>Ask the leaders the questions.<br>Integrate various sources and formats.
23;Improving Judgement;🔄;Become more self-aware.;What type of people do I prefer to work with?<br>What makes me stop listening to people?<br>What type of people prefer to work with me?<br>What makes people stop listening me?
24;Improving Judgement;🧐;Avoid jumping to conclusions.;Balance negative thoughts with gratitude.<br>Secret information does not mean important.<br>Confident does not mean competent.
25;Critical Thinking;🕳;Don’t rush to solve a problem.<br>Stop and think first.;Dig down to avoid solving symptoms.<br>Find and address the root cause.
26;Critical Thinking;🧨;Think about your<br>recommended solutions.;What problems might they cause?<br>Will it actually help the situation?<br>Review your approach with others.
27;Critical Thinking;🧇;Break big problems<br>into smaller ones.;Then break those into smaller as well.<br>Continue until the solutions became obvious.<br>Anticipate unintended consequences.
28;Critical Thinking;📝;Define the problem statement.;Outline main goals and metrics.<br>Identify stakeholders and define success.<br>Map boundaries and constraints.<br>Articulate assumptions and establish a timeline.
29;Critical Thinking;🤷;Seek to understand<br>why a solution is needed.;What is really driving the request?<br>Why do people care about it?<br>Is it really a serious problem?
